date,Open,High,Low,Close,Volume
14.11.2025 15:00:00.000,4082.764,4082.764,4068.362,4079.147,13867
14.11.2025 15:15:00.000,4079.189,4082.327,4071.679,4080.874,11696
14.11.2025 15:30:00.000,4080.846,4083.512,4072.798,4073.34,10123
14.11.2025 15:45:00.000,4073.307,4096.558,4071.979,4093.554,11448
14.11.2025 16:00:00.000,4093.634,4095.389,4080.913,4084.17,8392
14.11.2025 16:15:00.000,4084.197,4103.548,4082.266,4102.414,7747
14.11.2025 16:30:00.000,4102.443,4111.292,4096.471,4108.282,7339
14.11.2025 16:45:00.000,4108.394,4109.446,4102.313,4105.156,7204
14.11.2025 17:00:00.000,4105.248,4110.689,4096.201,4102.462,7835
14.11.2025 17:15:00.000,4102.511,4104.203,4094.032,4098.896,5983
14.11.2025 17:30:00.000,4098.94,4110.507,4097.983,4103.47,6926
14.11.2025 17:45:00.000,4103.515,4104.728,4096.069,4099.959,6057
14.11.2025 18:00:00.000,4100.011,4100.441,4086.409,4094.808,9029
14.11.2025 18:15:00.000,4094.853,4095.254,4080.869,4093.129,8290
14.11.2025 18:30:00.000,4093.091,4103.788,4090.905,4097.023,6255
14.11.2025 18:45:00.000,4096.972,4103.072,4095.65,4098.137,4187
14.11.2025 19:00:00.000,4098.116,4100.122,4089.821,4095.03,5382
14.11.2025 19:15:00.000,4095.079,4097.338,4092.226,4093.755,4268
14.11.2025 19:30:00.000,4093.677,4095.684,4089.892,4090.194,4206
14.11.2025 19:45:00.000,4090.239,4095.793,4087.81,4090.052,4621
14.11.2025 20:00:00.000,4090.109,4092.419,4083.808,4087.452,5299
14.11.2025 20:15:00.000,4087.473,4089.036,4075.398,4083.646,5531
14.11.2025 20:30:00.000,4083.701,4092.391,4081.882,4087.657,5051
14.11.2025 20:45:00.000,4087.68,4091.714,4084.98,4087.221,5010
14.11.2025 21:00:00.000,4087.2,4087.2,4078.94,4079.814,2610
14.11.2025 21:15:00.000,4079.818,4085.299,4079.547,4082.95,2181
14.11.2025 21:30:00.000,4082.946,4084.059,4077.71,4080.465,2794
14.11.2025 21:45:00.000,4080.458,4086.352,4078.964,4084.7,2009
16.11.2025 23:00:00.000,4083.835,4104.928,4072.263,4099.266,8394
16.11.2025 23:15:00.000,4099.213,4106.853,4095.527,4103.789,5653
16.11.2025 23:30:00.000,4103.89,4106.355,4099.09,4102.514,4501
16.11.2025 23:45:00.000,4102.587,4103.252,4093.748,4096.541,4404
17.11.2025 00:00:00.000,4096.608,4098.375,4084.231,4085.055,6011
17.11.2025 00:15:00.000,4085.075,4092.036,4080.547,4086.512,5430
17.11.2025 00:30:00.000,4086.539,4092.17,4085.347,4090.169,4724
17.11.2025 00:45:00.000,4090.124,4091.673,4081.536,4083.153,4641
17.11.2025 01:00:00.000,4083.187,4096.328,4082.522,4093.952,8985
17.11.2025 01:15:00.000,4093.861,4096.953,4085.537,4095.791,7059
17.11.2025 01:30:00.000,4095.913,4102.182,4094.348,4098.995,5816
17.11.2025 01:45:00.000,4099.022,4099.786,4090.201,4091.282,5730
17.11.2025 02:00:00.000,4091.239,4092.819,4083.683,4089.208,6113
17.11.2025 02:15:00.000,4089.181,4092.456,4085.963,4091.967,4475
17.11.2025 02:30:00.000,4091.964,4093.856,4085.637,4088.321,5768
17.11.2025 02:45:00.000,4088.378,4089.692,4080.811,4081.782,6728
17.11.2025 03:00:00.000,4081.757,4083.199,4070.128,4079.754,8403
17.11.2025 03:15:00.000,4079.729,4085.85,4075.769,4080.279,6591
17.11.2025 03:30:00.000,4080.263,4083.43,4077.982,4083.123,4393
17.11.2025 03:45:00.000,4083.191,4085.431,4080.919,4083.073,3512
17.11.2025 04:00:00.000,4083.004,4088.054,4082.15,4084.045,3855
17.11.2025 04:15:00.000,4084.039,4084.62,4081.1,4083.321,2112
17.11.2025 04:30:00.000,4083.296,4085.327,4081.216,4083.417,2105
17.11.2025 04:45:00.000,4083.382,4083.749,4076.915,4078.683,2741
17.11.2025 05:00:00.000,4078.723,4078.839,4072.13,4072.555,3418
17.11.2025 05:15:00.000,4072.588,4072.969,4058.647,4064.359,6254
17.11.2025 05:30:00.000,4064.475,4064.984,4049.753,4057.556,8808
17.11.2025 05:45:00.000,4057.546,4060.53,4053.237,4058.334,5016
17.11.2025 06:00:00.000,4058.298,4066.603,4054.638,4058.683,6353
17.11.2025 06:15:00.000,4058.629,4064.853,4056.287,4062.936,3912
17.11.2025 06:30:00.000,4062.983,4071.958,4062.573,4066.812,4851
17.11.2025 06:45:00.000,4066.85,4070.013,4064.934,4066.164,3882
17.11.2025 07:00:00.000,4066.081,4073.708,4065.215,4072.803,3760
17.11.2025 07:15:00.000,4072.797,4079.689,4072.287,4078.853,3833
17.11.2025 07:30:00.000,4078.806,4083.412,4077.122,4083.38,2782
17.11.2025 07:45:00.000,4083.328,4089.322,4083.284,4088.239,3053
17.11.2025 08:00:00.000,4088.21,4096.067,4086.923,4090.282,4693
17.11.2025 08:15:00.000,4090.245,4090.891,4079.122,4081.186,5016
17.11.2025 08:30:00.000,4081.175,4084.012,4075.881,4077.701,5006
17.11.2025 08:45:00.000,4077.679,4079.735,4072.159,4077.486,4862
17.11.2025 09:00:00.000,4077.492,4082.471,4072.32,4082.217,4543
17.11.2025 09:15:00.000,4082.261,4085.334,4079.447,4083.662,3494
17.11.2025 09:30:00.000,4083.602,4088.924,4081.859,4086.446,4396
17.11.2025 09:45:00.000,4086.472,4086.81,4078.979,4082.239,3578
17.11.2025 10:00:00.000,4082.2,4089.475,4081.291,4087.232,4059
17.11.2025 10:15:00.000,4087.285,4089.597,4083.923,4084.57,3874
17.11.2025 10:30:00.000,4084.513,4086.562,4078.11,4079.354,4758
17.11.2025 10:45:00.000,4079.388,4081.18,4068.347,4070.307,4970
17.11.2025 11:00:00.000,4070.376,4073.794,4061.106,4068.418,5867
17.11.2025 11:15:00.000,4068.307,4072.548,4065.39,4065.866,3360
17.11.2025 11:30:00.000,4065.897,4082.984,4064.302,4080.335,5175
17.11.2025 11:45:00.000,4080.38,4086.134,4076.581,4078.573,4871
17.11.2025 12:00:00.000,4078.457,4080.416,4076.725,4078.454,3061
17.11.2025 12:15:00.000,4078.496,4080.539,4074.751,4078.431,3766
17.11.2025 12:30:00.000,4078.339,4085.321,4077.766,4082.757,3455
17.11.2025 12:45:00.000,4082.809,4083.5,4075.034,4077.229,3300
17.11.2025 13:00:00.000,4077.199,4092.331,4075.983,4083.355,6826
17.11.2025 13:15:00.000,4083.484,4087.324,4074.946,4076.588,5725
17.11.2025 13:30:00.000,4076.585,4079.62,4067.318,4069.28,6279
17.11.2025 13:45:00.000,4069.25,4071.358,4060.74,4065.463,6999
17.11.2025 14:00:00.000,4065.352,4074.579,4060.713,4073.643,6106
17.11.2025 14:15:00.000,4073.618,4074.638,4064.182,4066.538,4269
17.11.2025 14:30:00.000,4066.582,4082.087,4065.564,4074.186,11880
17.11.2025 14:45:00.000,4074.139,4080.376,4072.211,4076.293,9425
17.11.2025 15:00:00.000,4076.406,4077.822,4061.533,4068.91,9339
17.11.2025 15:15:00.000,4068.953,4076.118,4060.838,4072.667,8005
17.11.2025 15:30:00.000,4072.632,4077.584,4070.758,4073.663,6886
17.11.2025 15:45:00.000,4073.638,4073.956,4063.567,4064.252,7019
17.11.2025 16:00:00.000,4064.225,4065.53,4052.222,4061.621,8232
17.11.2025 16:15:00.000,4061.661,4069.076,4059.292,4069.076,6363
17.11.2025 16:30:00.000,4069.086,4073.78,4068.112,4068.959,5620
17.11.2025 16:45:00.000,4068.99,4071.18,4065.265,4070.154,4448
17.11.2025 17:00:00.000,4070.19,4075.804,4069.785,4074.122,4248
17.11.2025 17:15:00.000,4074.226,4080.778,4072.385,4077.447,4185
17.11.2025 17:30:00.000,4077.385,4081.189,4073.851,4075.592,4365
17.11.2025 17:45:00.000,4075.621,4075.949,4071.251,4073.503,4146
17.11.2025 18:00:00.000,4073.457,4076.356,4071.152,4072.777,4631
17.11.2025 18:15:00.000,4072.739,4075.517,4067.776,4073.058,4523
17.11.2025 18:30:00.000,4072.959,4072.959,4067.471,4068.857,4090
17.11.2025 18:45:00.000,4068.793,4071.652,4062.3,4062.697,3847
17.11.2025 19:00:00.000,4062.672,4064.287,4056.412,4060.67,6099
17.11.2025 19:15:00.000,4060.708,4065.135,4053.505,4056.625,4354
17.11.2025 19:30:00.000,4056.645,4058.598,4016.261,4019.469,17822
17.11.2025 19:45:00.000,4019.44,4025.955,4010.888,4011.309,13645
17.11.2025 20:00:00.000,4011.338,4022.892,4006.907,4016.468,11271
