entry_time,exit_time,direction,entry_price,stop_loss,take_profit,status,pnl,balance
2022-11-29 15:15:00,2022-11-29 16:15:00,Buy,1754.648,1751.148,1761.648,Loss,-3.5,257.5
2022-11-30 01:30:00,2022-11-30 08:45:00,Buy,1751.978,1748.478,1758.978,Win,7.0,264.5
2022-11-30 09:00:00,2022-11-30 13:30:00,Buy,1760.147,1756.647,1767.147,Loss,-3.5,261.0
2022-11-30 18:30:00,2022-11-30 18:45:00,Buy,1751.767,1748.267,1758.767,Win,7.0,268.0
2022-11-30 23:30:00,2022-12-01 00:45:00,Buy,1771.487,1767.987,1778.487,Win,7.0,275.0
2022-12-01 00:45:00,2022-12-01 02:00:00,Buy,1776.358,1772.858,1783.358,Loss,-3.5,271.5
2022-12-01 04:30:00,2022-12-01 07:45:00,Buy,1778.567,1775.067,1785.567,Loss,-3.5,268.0
2022-12-01 11:15:00,2022-12-01 13:00:00,Buy,1779.218,1775.718,1786.218,Win,7.0,275.0
2022-12-01 16:30:00,2022-12-02 02:30:00,Buy,1799.858,1796.358,1806.858,Loss,-3.5,271.5
2022-12-02 19:45:00,2022-12-05 01:15:00,Buy,1797.297,1793.797,1804.297,Win,7.0,278.5
2022-12-05 01:15:00,2022-12-05 07:00:00,Buy,1803.758,1800.258,1810.758,Loss,-3.5,275.0
2022-12-06 16:45:00,2022-12-07 13:30:00,Sell,1774.048,1777.548,1767.048,Loss,-3.5,271.5
2022-12-07 16:30:00,2022-12-07 18:15:00,Buy,1778.758,1775.258,1785.758,Win,7.0,278.5
2022-12-07 18:30:00,2022-12-08 01:15:00,Buy,1786.558,1783.058,1793.558,Loss,-3.5,275.0
2022-12-08 16:30:00,2022-12-09 04:00:00,Buy,1788.648,1785.148,1795.648,Win,7.0,282.0
2022-12-09 11:15:00,2022-12-09 13:15:00,Buy,1795.838,1792.338,1802.838,Win,7.0,289.0
2022-12-09 16:00:00,2022-12-09 16:30:00,Buy,1797.578,1794.078,1804.578,Win,7.0,296.0
2022-12-09 16:30:00,2022-12-09 17:30:00,Buy,1802.948,1799.448,1809.948,Loss,-3.5,292.5
2022-12-12 11:15:00,2022-12-12 12:45:00,Buy,1792.998,1789.498,1799.998,Loss,-3.5,289.0
2022-12-12 12:45:00,2022-12-12 15:30:00,Sell,1790.838,1794.338,1783.838,Win,7.0,296.0
2022-12-12 17:15:00,2022-12-13 07:00:00,Sell,1783.408,1786.908,1776.408,Loss,-3.5,292.5
2022-12-13 13:30:00,2022-12-13 13:45:00,Buy,1795.237,1791.737,1802.237,Win,7.0,299.5
2022-12-15 01:00:00,2022-12-15 01:45:00,Sell,1805.395,1808.895,1798.395,Win,7.0,306.5
2022-12-15 01:45:00,2022-12-15 04:00:00,Sell,1799.265,1802.765,1792.265,Win,7.0,313.5
2022-12-15 07:00:00,2022-12-15 08:00:00,Sell,1794.015,1797.515,1787.015,Win,7.0,320.5
2022-12-15 08:00:00,2022-12-15 08:15:00,Sell,1786.935,1790.435,1779.935,Win,7.0,327.5
2022-12-15 15:15:00,2022-12-16 02:30:00,Sell,1779.015,1782.515,1772.015,Loss,-3.5,324.0
2022-12-16 07:30:00,2022-12-16 11:00:00,Sell,1780.235,1783.735,1773.235,Loss,-3.5,320.5
2022-12-16 14:45:00,2022-12-16 15:00:00,Buy,1786.298,1782.798,1793.298,Win,7.0,327.5
2022-12-16 18:00:00,2022-12-19 02:00:00,Buy,1788.495,1784.995,1795.495,Win,7.0,334.5
